addee, addor, resnum, remres, remnum, remrem
07, 42, 49, 50, false, false
07, 43, 50, 51, false, false
07, 44, 51, 52, false, false
07, 45, 52, 53, false, false
07, 46, 53, 54, false, false
07, 47, 54, 55, false, false
07, 48, 55, 56, false, false
07, 49, 56, 57, false, false
07, 50, 57, 58, false, false
07, 51, 58, 59, false, false
07, 52, 59, 00, false, true
07, 53, 00, 01, true, true
07, 54, 01, 02, true, true
07, 55, 02, 03, true, true
07, 56, 03, 04, true, true
07, 57, 04, 05, true, true
07, 58, 05, 06, true, true
07, 59, 06, 07, true, true
08, 00, 08, 09, false, false
08, 01, 09, 10, false, false
08, 02, 10, 11, false, false
08, 03, 11, 12, false, false
08, 04, 12, 13, false, false
08, 05, 13, 14, false, false
08, 06, 14, 15, false, false
08, 07, 15, 16, false, false
08, 08, 16, 17, false, false
08, 09, 17, 18, false, false
08, 10, 18, 19, false, false
08, 11, 19, 20, false, false
08, 12, 20, 21, false, false
08, 13, 21, 22, false, false
08, 14, 22, 23, false, false
08, 15, 23, 24, false, false
08, 16, 24, 25, false, false
08, 17, 25, 26, false, false
08, 18, 26, 27, false, false
08, 19, 27, 28, false, false
08, 20, 28, 29, false, false
08, 21, 29, 30, false, false
08, 22, 30, 31, false, false
08, 23, 31, 32, false, false
08, 24, 32, 33, false, false
08, 25, 33, 34, false, false
08, 26, 34, 35, false, false
08, 27, 35, 36, false, false
08, 28, 36, 37, false, false
08, 29, 37, 38, false, false
08, 30, 38, 39, false, false
08, 31, 39, 40, false, false
08, 32, 40, 41, false, false
08, 33, 41, 42, false, false
08, 34, 42, 43, false, false
08, 35, 43, 44, false, false
08, 36, 44, 45, false, false
08, 37, 45, 46, false, false
08, 38, 46, 47, false, false
08, 39, 47, 48, false, false
08, 40, 48, 49, false, false
08, 41, 49, 50, false, false
08, 42, 50, 51, false, false
08, 43, 51, 52, false, false
08, 44, 52, 53, false, false
08, 45, 53, 54, false, false
08, 46, 54, 55, false, false
08, 47, 55, 56, false, false
08, 48, 56, 57, false, false
08, 49, 57, 58, false, false
08, 50, 58, 59, false, false
08, 51, 59, 00, false, true
08, 52, 00, 01, true, true
08, 53, 01, 02, true, true
08, 54, 02, 03, true, true
08, 55, 03, 04, true, true
08, 56, 04, 05, true, true
08, 57, 05, 06, true, true
08, 58, 06, 07, true, true
08, 59, 07, 08, true, true
09, 00, 09, 10, false, false
09, 01, 10, 11, false, false
09, 02, 11, 12, false, false
09, 03, 12, 13, false, false
09, 04, 13, 14, false, false
09, 05, 14, 15, false, false
09, 06, 15, 16, false, false
09, 07, 16, 17, false, false
09, 08, 17, 18, false, false
09, 09, 18, 19, false, false
09, 10, 19, 20, false, false
09, 11, 20, 21, false, false
09, 12, 21, 22, false, false
09, 13, 22, 23, false, false
09, 14, 23, 24, false, false
09, 15, 24, 25, false, false
09, 16, 25, 26, false, false
09, 17, 26, 27, false, false
09, 18, 27, 28, false, false
09, 19, 28, 29, false, false
09, 20, 29, 30, false, false
09, 21, 30, 31, false, false
09, 22, 31, 32, false, false
09, 23, 32, 33, false, false
09, 24, 33, 34, false, false
09, 25, 34, 35, false, false
09, 26, 35, 36, false, false
09, 27, 36, 37, false, false
09, 28, 37, 38, false, false
09, 29, 38, 39, false, false
09, 30, 39, 40, false, false
09, 31, 40, 41, false, false
09, 32, 41, 42, false, false
09, 33, 42, 43, false, false
09, 34, 43, 44, false, false
09, 35, 44, 45, false, false
09, 36, 45, 46, false, false
09, 37, 46, 47, false, false
09, 38, 47, 48, false, false
09, 39, 48, 49, false, false
09, 40, 49, 50, false, false
09, 41, 50, 51, false, false
09, 42, 51, 52, false, false
09, 43, 52, 53, false, false
09, 44, 53, 54, false, false
09, 45, 54, 55, false, false
09, 46, 55, 56, false, false
09, 47, 56, 57, false, false
09, 48, 57, 58, false, false
09, 49, 58, 59, false, false
09, 50, 59, 00, false, true
09, 51, 00, 01, true, true
09, 52, 01, 02, true, true
09, 53, 02, 03, true, true
09, 54, 03, 04, true, true
09, 55, 04, 05, true, true
09, 56, 05, 06, true, true
09, 57, 06, 07, true, true
09, 58, 07, 08, true, true
09, 59, 08, 09, true, true
10, 00, 10, 11, false, false
10, 01, 11, 12, false, false
10, 02, 12, 13, false, false
10, 03, 13, 14, false, false
10, 04, 14, 15, false, false
10, 05, 15, 16, false, false
10, 06, 16, 17, false, false
10, 07, 17, 18, false, false
10, 08, 18, 19, false, false
10, 09, 19, 20, false, false
10, 10, 20, 21, false, false
10, 11, 21, 22, false, false
10, 12, 22, 23, false, false
10, 13, 23, 24, false, false
10, 14, 24, 25, false, false
10, 15, 25, 26, false, false
10, 16, 26, 27, false, false
10, 17, 27, 28, false, false
10, 18, 28, 29, false, false
10, 19, 29, 30, false, false
10, 20, 30, 31, false, false
10, 21, 31, 32, false, false
10, 22, 32, 33, false, false
10, 23, 33, 34, false, false
10, 24, 34, 35, false, false
10, 25, 35, 36, false, false
10, 26, 36, 37, false, false
10, 27, 37, 38, false, false
10, 28, 38, 39, false, false
10, 29, 39, 40, false, false
10, 30, 40, 41, false, false
10, 31, 41, 42, false, false
10, 32, 42, 43, false, false
10, 33, 43, 44, false, false
10, 34, 44, 45, false, false
10, 35, 45, 46, false, false
10, 36, 46, 47, false, false
10, 37, 47, 48, false, false
10, 38, 48, 49, false, false
10, 39, 49, 50, false, false
10, 40, 50, 51, false, false
10, 41, 51, 52, false, false
10, 42, 52, 53, false, false
10, 43, 53, 54, false, false
10, 44, 54, 55, false, false
10, 45, 55, 56, false, false
10, 46, 56, 57, false, false
10, 47, 57, 58, false, false
10, 48, 58, 59, false, false
10, 49, 59, 00, false, true
10, 50, 00, 01, true, true
10, 51, 01, 02, true, true
10, 52, 02, 03, true, true
10, 53, 03, 04, true, true
10, 54, 04, 05, true, true
10, 55, 05, 06, true, true
10, 56, 06, 07, true, true
10, 57, 07, 08, true, true
10, 58, 08, 09, true, true
10, 59, 09, 10, true, true
11, 00, 11, 12, false, false
11, 01, 12, 13, false, false
11, 02, 13, 14, false, false
11, 03, 14, 15, false, false
11, 04, 15, 16, false, false
11, 05, 16, 17, false, false
11, 06, 17, 18, false, false
11, 07, 18, 19, false, false
11, 08, 19, 20, false, false
11, 09, 20, 21, false, false
11, 10, 21, 22, false, false
11, 11, 22, 23, false, false
11, 12, 23, 24, false, false
11, 13, 24, 25, false, false
11, 14, 25, 26, false, false
11, 15, 26, 27, false, false
11, 16, 27, 28, false, false
11, 17, 28, 29, false, false
11, 18, 29, 30, false, false
11, 19, 30, 31, false, false
11, 20, 31, 32, false, false
11, 21, 32, 33, false, false
11, 22, 33, 34, false, false
11, 23, 34, 35, false, false
11, 24, 35, 36, false, false
11, 25, 36, 37, false, false
11, 26, 37, 38, false, false
11, 27, 38, 39, false, false
11, 28, 39, 40, false, false
11, 29, 40, 41, false, false
11, 30, 41, 42, false, false
11, 31, 42, 43, false, false
11, 32, 43, 44, false, false
11, 33, 44, 45, false, false
11, 34, 45, 46, false, false
11, 35, 46, 47, false, false
11, 36, 47, 48, false, false
11, 37, 48, 49, false, false
11, 38, 49, 50, false, false
11, 39, 50, 51, false, false
11, 40, 51, 52, false, false
11, 41, 52, 53, false, false
11, 42, 53, 54, false, false
11, 43, 54, 55, false, false
11, 44, 55, 56, false, false
